Date,CPI,GDP_Growth,Unemployment_Rate,Crude_Oil_Prices,Gold_Prices,Real_Estate_Index,Stock_Index,Money_Supply_M1,Money_Supply_M2,Industrial_Production,Retail_Sales,Exchange_Rate
2007-01-31,4.3187977244211915,2.246894587916252,7.220601419587005,41.382886631839135,1537.0351073659829,135.25264338068948,21528.193539083997,5.834372338506367,9.409519185105198,5.487314447405429,8.974610474089989,73.92019739824885
2007-02-28,5.55375223519429,7.239422891932272,10.231640396776596,57.09422483830747,1585.0889728368345,136.2793348160604,21842.67164565244,5.19918668648887,11.906389533182749,2.8195831864011405,10.143859730423594,79.68738746253463
2007-03-31,4.200890172168087,4.7292752223487415,7.419760029481489,63.79591699867534,1544.457971160171,123.9540101101493,30149.436287357777,6.348151923338562,12.05405061613334,3.02892079855814,6.241434435176024,83.1753319726376
2007-04-30,4.750935146376105,3.6206666818192774,5.795134483789588,98.31531486010286,1755.7731626626787,126.86687102290321,24002.048456872446,10.478387520412387,13.417891037530216,3.0605125607306514,8.69719023972196,81.5584672463633
2007-05-31,7.757628785910505,4.751309220573551,6.885442903493113,78.34829686800637,1309.5367238522406,140.2037762516094,26346.390004594377,7.321637453524348,7.899424910157521,5.22107063494788,7.749651143233671,69.53929203285634
2007-06-30,6.991512783970699,5.630949284688301,4.868504399840258,49.96777646350163,1364.6009723082936,85.64514812632075,21627.30185499734,11.540843392693288,13.777701821541992,3.747369447633986,9.693764207769828,73.7316196122881
2007-07-31,3.2028224130039566,4.790510670923575,6.903280300843887,77.29054434126455,1345.4681109458352,145.47345560619243,21660.441161335082,10.104141246257685,3.886825105191674,5.98812783795104,7.769551534895605,73.27417647275102
2007-08-31,6.675064694454098,1.5888678858018617,6.00033273159909,46.79044016592452,1666.038362372522,134.3315426603512,27245.954427749824,4.094487359685839,10.110346342908569,-0.7092533258087821,7.230114223179838,77.44627267538164
2007-09-30,6.802555904595231,7.794132393774264,8.098468330672194,86.2403658083061,1680.0797176790127,122.99170993847083,19951.271365345405,11.96492675266507,10.535178472645367,3.286296269744401,9.08181703712198,78.43176777507267
2007-10-31,3.4937181163393625,8.549750082557445,6.340551670485358,62.93313022273182,1590.2450638637017,159.99528474910414,22754.358696284184,12.43239593677513,13.899980478213715,2.7478920781778995,9.752338334382465,70.80553662987131
2007-11-30,6.67946413649551,7.303043982679012,6.859880901045704,68.59545716891243,1736.6987333779855,127.86759875634688,24102.082233216697,7.0184119754954395,12.067892558030607,4.487318643255016,6.6633096103063965,75.33919256958468
2007-12-31,7.224085863501336,3.724628659150367,6.237330590314716,89.88694971313285,1264.391826524724,127.62159923155386,24334.117805520156,11.260574628684974,7.78331083843114,3.923904483019723,7.877848657295248,64.90036333921933
2008-01-31,3.748073038856101,5.597016932104964,9.086621622223998,50.692546471236255,1833.4448223102274,159.91721780756177,23462.72014495153,7.430505287772403,9.045020622548954,6.595687559791533,5.883118732716694,82.20972502900945
2008-02-29,3.7629560855331086,5.986957369541084,6.614508680658506,49.04322722330513,1804.6477243424515,116.33066384244722,25187.45934328777,10.293011130245006,12.596040028642221,1.281326456679885,3.003877965014121,72.43812879661654
2008-03-31,6.887961323606848,7.19758877912382,9.199068452175041,61.246010104809926,1647.1243994491492,122.13131610821021,26078.567267453433,6.206504779135103,11.76279797440633,5.090982952661504,8.400919262827458,75.27931969922248
2008-04-30,5.65769248259053,7.336680977436162,7.9769821145419195,85.57568276528974,1856.359781754212,125.23580085882574,26203.91263637799,4.62068064239627,10.26262767109276,6.116672846423411,9.217810712509264,73.45175143005969
2008-05-31,6.391297214816052,4.531652402443008,7.5784800728024635,47.209808867847364,1168.6753584644453,132.08726970334817,21042.58857399652,8.851548431161094,10.557498631464062,8.71329487312391,8.524133618173451,80.73013787506707
2008-06-30,5.635996694932761,6.163991112827121,7.442479776781024,27.517666028341466,1395.1103727474697,143.32792716297337,23147.534706213606,9.628813161175492,14.088503991477868,4.03646805781305,4.100876564491266,60.812467793013106
2008-07-31,6.011565140904582,6.914560809230482,7.472556757859502,63.23261712386502,1352.9393078636094,111.38724478871308,27584.288585630813,8.806960919156188,10.446922281392355,5.6489172087050346,7.298301139847051,74.91694828837045
2008-08-31,3.254390314874069,8.911644644293533,4.686792904785268,78.27611199866381,1644.2958647514686,124.00820787870484,26683.94156272162,6.447908325332322,11.73572626791278,1.3922744148752701,3.5633044798978375,74.47090621251151
2008-09-30,6.83931546433024,7.409013079649446,6.665339927019092,88.00392624608244,1289.971852079571,120.60014475243229,19881.421645556806,8.800302813606589,18.50980976424163,0.2160875913739524,10.73940221530837,72.73181806204158
